product_id,product_name,category,brand,unit_price,status,created_date,effective_date,operation
P00435,Bedsheet 435,Home,BrandB,34748.71,active,2023-12-16,2026-04-24,UPDATE
P00140,Mouse 140,Electronics,BrandB,13985.55,active,2025-02-21,2026-04-24,UPDATE
P00081,Shampoo 81,Beauty,BrandD,73001.3,discontinued,2025-10-01,2026-04-24,UPDATE
P00561,Chair 561,Home,BrandC,45448.0,active,2025-10-14,2026-04-24,UPDATE
P00187,Rice 187,Grocery,BrandD,9702.61,active,2025-09-18,2026-04-24,UPDATE
P00096,Perfume 96,Beauty,BrandB,56592.01,active,2024-02-13,2026-04-24,UPDATE
P00089,Mouse 89,Electronics,BrandD,13704.24,active,2023-01-07,2026-04-24,UPDATE
P00005,Oil 5,,BrandC,74867.82,active,2024-12-12,2026-04-24,UPDATE
P00183,Chair 183,Home,BrandB,23206.75,active,2024-08-21,2026-04-24,UPDATE
P00444,Mixer 444,Home,BrandC,22544.37,discontinued,2024-08-15,2026-04-24,UPDATE
P00456,Bedsheet 456,,BrandC,28826.95,active,2025-09-19,2026-04-24,UPDATE
P00213,Tea 213,Grocery,BrandA,87264.58,discontinued,2023-04-24,2026-04-24,UPDATE
P00595,T-Shirt 595,Fashion,BrandA,8770.26,active,2024-01-02,2026-04-24,UPDATE
P00092,Keyboard 92,Electronics,BrandB,82825.99,active,2023-02-11,2026-04-24,UPDATE
P00302,Shampoo 302,Beauty,BrandC,16823.38,active,2024-08-21,2026-04-24,UPDATE
P00153,Perfume 153,Beauty,BrandC,23669.77,active,2024-08-20,2026-04-24,UPDATE
P00644,Jacket 644,Fashion,BrandD,39501.94,active,2024-07-01,2026-04-24,UPDATE
P00072,Tea 72,Grocery,BrandC,85514.75,active,2025-12-05,2026-04-24,UPDATE
P00461,Rice 461,Grocery,BrandD,89977.52,active,2025-06-28,2026-04-24,UPDATE
P00666,Mixer 666,Home,BrandA,49073.33,discontinued,2025-05-04,2026-04-24,UPDATE
P00556,Lamp 556,Home,BrandB,82001.03,active,2024-10-25,2026-04-24,UPDATE
P00379,Coffee 379,Grocery,BrandD,475.64,active,2024-04-04,2026-04-24,UPDATE
P00671,Perfume 671,Beauty,BrandC,78823.09,active,2025-10-14,2026-04-24,UPDATE
P00597,Shampoo 597,Beauty,BrandA,23637.17,active,2023-12-18,2026-04-24,UPDATE
