customer_id,customer_name,city,segment,gender,signup_date,status,effective_date,operation
C01212,Customer_1212,Pune,Gold,Other,2024-07-31,inactive,2026-04-26,UPDATE
C01143,Customer_1143,Mumbai,Platinum,Other,2025-11-10,active,2026-04-26,UPDATE
C00015,Customer_15,Kolkata,Silver,F,2024-08-02,active,2026-04-26,UPDATE
C01643,Customer_1643,Bengaluru,Gold,F,2024-01-21,inactive,2026-04-26,UPDATE
C01969,Customer_1969,Ahmedabad,Gold,Other,2025-07-02,active,2026-04-26,UPDATE
C01583,Customer_1583,Hyderabad,Platinum,F,2024-05-16,active,2026-04-26,UPDATE
C00713,Customer_713,Jaipur,Regular,Other,2025-03-23,inactive,2026-04-26,UPDATE
C02048,Customer_2048,Ahmedabad,Platinum,M,2024-12-30,active,2026-04-26,UPDATE
C01970,Customer_1970,Kolkata,Gold,F,2025-01-08,active,2026-04-26,UPDATE
C00135,Customer_135,Hyderabad,Silver,F,2025-10-12,inactive,2026-04-26,UPDATE
C00331,Customer_331,Mumbai,Silver,M,2024-02-09,active,2026-04-26,UPDATE
C01711,Customer_1711,Ahmedabad,Gold,M,2026-01-15,active,2026-04-26,UPDATE
C02359,Customer_2359,Chennai,Regular,M,2024-10-31,inactive,2026-04-26,UPDATE
C00580,Customer_580,Kolkata,Platinum,Other,2025-12-23,active,2026-04-26,UPDATE
C01706,Customer_1706,Mumbai,Gold,M,2024-07-06,inactive,2026-04-26,UPDATE
C01044,Customer_1044,Pune,Gold,Other,2024-12-31,active,2026-04-26,UPDATE
C02019,Customer_2019,Bengaluru,Gold,M,2024-10-03,active,2026-04-26,UPDATE
C02036,Customer_2036,Mumbai,Platinum,Other,2024-02-28,active,2026-04-26,UPDATE
C01939,Customer_1939,Bengaluru,Silver,F,2025-10-03,active,2026-04-26,UPDATE
C00168,Customer_168,Delhi,Platinum,Other,2025-08-26,active,2026-04-26,UPDATE
C00892,Customer_892,Hyderabad,Gold,M,2024-12-23,active,2026-04-26,UPDATE
C01218,Customer_1218,Kolkata,Silver,F,2024-02-06,active,2026-04-26,UPDATE
C01649,Customer_1649,Hyderabad,Regular,Other,2024-03-06,active,2026-04-26,UPDATE
C00831,Customer_831,Delhi,Gold,F,2025-01-01,inactive,2026-04-26,UPDATE
C00116,Customer_116,Chennai,Silver,F,2025-03-22,inactive,2026-04-26,UPDATE
C00710,Customer_710,Kolkata,Silver,M,31-31-2025,active,2026-04-26,UPDATE
C00938,Customer_938,Bengaluru,Silver,Other,2025-08-02,active,2026-04-26,UPDATE
C00707,Customer_707,Mumbai,Gold,M,2025-09-08,active,2026-04-26,UPDATE
C02253,Customer_2253,Kolkata,Regular,F,2024-01-11,active,2026-04-26,UPDATE
C02106,Customer_2106,Gurugram,Silver,M,2025-07-04,active,2026-04-26,UPDATE
C00520,Customer_520,Delhi,Gold,Other,2024-12-05,active,2026-04-26,UPDATE
C01924,Customer_1924,Chennai,Silver,M,2025-01-05,active,2026-04-26,UPDATE
C01188,Customer_1188,Gurugram,Platinum,Other,2025-12-25,inactive,2026-04-26,UPDATE
C01330,Customer_1330,Kolkata,Silver,F,2024-06-04,active,2026-04-26,UPDATE
C01975,Customer_1975,Hyderabad,Gold,F,2025-05-29,active,2026-04-26,UPDATE
C00130,Customer_130,Chennai,Silver,F,2026-01-02,active,2026-04-26,UPDATE
C01129,Customer_1129,Ahmedabad,Silver,Other,2025-03-20,active,2026-04-26,UPDATE
C00891,Customer_891,Kolkata,Platinum,Other,2024-06-12,inactive,2026-04-26,UPDATE
C01464,Customer_1464,Hyderabad,Platinum,M,2025-07-26,active,2026-04-26,UPDATE
C02214,Customer_2214,Bengaluru,Gold,F,2024-05-08,inactive,2026-04-26,UPDATE
C00365,Customer_365,Mumbai,Regular,Other,2025-01-10,inactive,2026-04-26,UPDATE
C00929,Customer_929,Pune,Regular,M,2025-10-23,active,2026-04-26,UPDATE
C00798,Customer_798,Bengaluru,Regular,Other,2024-07-03,active,2026-04-26,UPDATE
C00153,Customer_153,Bengaluru,Regular,F,2024-02-16,active,2026-04-26,UPDATE
C01981,Customer_1981,Chennai,Gold,F,2025-02-04,inactive,2026-04-26,UPDATE
C01201,Customer_1201,Gurugram,Gold,M,2024-06-14,active,2026-04-26,UPDATE
C02172,Customer_2172,Hyderabad,Platinum,M,2024-12-31,active,2026-04-26,UPDATE
C00363,Customer_363,Jaipur,Platinum,Other,2024-02-03,active,2026-04-26,UPDATE
C01883,Customer_1883,Hyderabad,Regular,Other,2024-07-31,inactive,2026-04-26,UPDATE
C02395,Customer_2395,Pune,Platinum,M,2024-02-16,active,2026-04-26,UPDATE
C00320,Customer_320,Jaipur,Gold,Other,2025-04-04,active,2026-04-26,UPDATE
C01659,Customer_1659,Mumbai,Regular,M,2025-01-02,active,2026-04-26,UPDATE
C02396,Customer_2396,Pune,Silver,M,2025-11-12,active,2026-04-26,UPDATE
C00982,Customer_982,Chennai,Silver,Other,2025-01-28,inactive,2026-04-26,UPDATE
C00619,Customer_619,Chennai,Silver,Other,2024-11-08,active,2026-04-26,UPDATE
C00556,Customer_556,Chennai,Platinum,Other,2025-03-09,inactive,2026-04-26,UPDATE
C00878,Customer_878,Ahmedabad,Regular,Other,2025-10-24,inactive,2026-04-26,UPDATE
C00538,Customer_538,Delhi,Silver,Other,2025-09-04,active,2026-04-26,UPDATE
C01502,Customer_1502,Mumbai,Regular,F,2024-07-25,active,2026-04-26,UPDATE
