product_id,product_name,category,brand,unit_price,status,created_date,effective_date,operation
P00107,Perfume 107,Beauty,BrandD,11619.19,discontinued,2025-08-27,2026-04-26,UPDATE
P00761,Laptop 761,Electronics,BrandD,14554.97,active,2025-05-14,2026-04-26,UPDATE
P00123,Coffee 123,Grocery,BrandB,63743.3,discontinued,2023-11-05,2026-04-26,UPDATE
P00451,Sneakers 451,Fashion,BrandB,10888.74,active,2024-05-25,2026-04-26,UPDATE
P00348,Speaker 348,Electronics,BrandD,30425.76,active,2024-08-01,2026-04-26,UPDATE
P00608,Jacket 608,Fashion,BrandB,53645.98,active,2025-03-22,2026-04-26,UPDATE
P00401,Coffee 401,Grocery,BrandD,3775.93,active,2025-08-19,2026-04-26,UPDATE
P00712,Sneakers 712,Fashion,BrandA,82148.95,active,2023-08-15,2026-04-26,UPDATE
P00388,Bedsheet 388,Home,BrandB,90580.95,active,2024-03-20,2026-04-26,UPDATE
P00088,Shampoo 88,Beauty,BrandA,43047.28,active,2025-06-27,2026-04-26,UPDATE
P00658,Cream 658,Beauty,BrandB,75235.92,active,2025-05-01,2026-04-26,UPDATE
P00463,Perfume 463,Beauty,BrandB,76619.82,active,2023-02-04,2026-04-26,UPDATE
P00639,Headphones 639,Electronics,BrandA,42597.71,active,2025-05-27,2026-04-26,UPDATE
P00611,Rice 611,Grocery,BrandA,8295.85,active,2023-10-26,2026-04-26,UPDATE
P00017,Bedsheet 17,Home,BrandB,64514.07,discontinued,2024-08-01,2026-04-26,UPDATE
P00233,Sneakers 233,Fashion,BrandC,9535.93,discontinued,2025-12-16,2026-04-26,UPDATE
P00569,Cream 569,Beauty,BrandA,80168.9,discontinued,2024-02-24,2026-04-26,UPDATE
P00364,Jeans 364,Fashion,BrandA,12928.9,active,2023-11-22,2026-04-26,UPDATE
P00577,Keyboard 577,Electronics,BrandD,87803.17,discontinued,2025-07-02,2026-04-26,UPDATE
P00685,Jacket 685,Fashion,BrandD,15018.57,discontinued,2024-10-21,2026-04-26,UPDATE
P00158,Jeans 158,Fashion,BrandC,94700.8,active,2023-11-22,2026-04-26,UPDATE
P00496,T-Shirt 496,Fashion,BrandD,85898.25,active,2023-03-18,2026-04-26,UPDATE
P00032,Speaker 32,Electronics,BrandC,58753.0,active,2023-04-11,2026-04-26,UPDATE
P00648,Chair 648,Home,BrandD,43066.45,active,2025-11-08,2026-04-26,UPDATE
P00441,Sneakers 441,Fashion,BrandA,56342.08,discontinued,2025-03-14,2026-04-26,UPDATE
P00353,Chair 353,Home,BrandA,91049.54,active,2023-04-07,2026-04-26,UPDATE
P00490,Shampoo 490,Beauty,BrandC,18185.89,active,2024-01-26,2026-04-26,UPDATE
P00706,Smartphone 706,Electronics,BrandD,71297.22,active,2025-12-16,2026-04-26,UPDATE
P00184,Oil 184,Grocery,BrandA,80435.16,active,2024-09-12,2026-04-26,UPDATE
P00287,Speaker 287,Electronics,BrandB,8589.97,active,2025-06-27,2026-04-26,UPDATE
P00063,Mouse 63,Electronics,BrandB,39972.58,active,2023-01-29,2026-04-26,UPDATE
P00755,T-Shirt 755,Fashion,BrandA,10730.42,discontinued,2025-03-19,2026-04-26,UPDATE
P00027,Shampoo 27,Beauty,BrandD,52882.48,active,2024-10-23,2026-04-26,UPDATE
P00564,Tea 564,Grocery,BrandB,82211.14,active,2025-10-10,2026-04-26,UPDATE
P00629,Lamp 629,Home,BrandC,51042.25,discontinued,2025-04-08,2026-04-26,UPDATE
P00728,Keyboard 728,Electronics,BrandC,14408.15,discontinued,2024-11-29,2026-04-26,UPDATE
P00148,T-Shirt 148,Fashion,BrandB,75013.16,active,2024-08-12,2026-04-26,UPDATE
P00350,Tea 350,Grocery,BrandD,37140.88,active,2025-10-03,2026-04-26,UPDATE
P00681,Jacket 681,Fashion,BrandC,84839.15,active,2023-06-26,2026-04-26,UPDATE
P00072,Tea 72,Grocery,BrandC,39240.45,active,2025-12-05,2026-04-26,UPDATE
P00160,Lamp 160,Home,BrandC,5354.92,discontinued,2024-04-06,2026-04-26,UPDATE
P00705,Perfume 705,Beauty,BrandB,49919.51,discontinued,2024-05-02,2026-04-26,UPDATE
P00334,Lamp 334,Home,BrandD,15912.58,active,2025-10-20,2026-04-26,UPDATE
P00758,Cream 758,Beauty,BrandB,29429.48,active,2024-11-25,2026-04-26,UPDATE
P00280,Jacket 280,Fashion,BrandC,48100.69,active,2025-03-31,2026-04-26,UPDATE
P00458,Speaker 458,Electronics,BrandC,41409.75,active,2025-02-09,2026-04-26,UPDATE
P00625,Coffee 625,Grocery,BrandB,43030.56,discontinued,2023-08-22,2026-04-26,UPDATE
P00565,Oil 565,Grocery,BrandD,20385.21,active,2024-06-28,2026-04-26,UPDATE
P00297,Jacket 297,Fashion,BrandA,32261.92,discontinued,2025-02-08,2026-04-26,UPDATE
P00168,Sneakers 168,Fashion,BrandA,62208.7,active,2024-02-28,2026-04-26,UPDATE
