customer_id,customer_name,city,segment,gender,signup_date,status,effective_date,operation
C00606,Customer_606,Kolkata,Silver,Other,2025-10-09,active,not_a_date,UPDATE
C00527,Customer_527,Bengaluru,Regular,M,2024-04-10,inactive,2026-04-25,UPDATE
C00660,Customer_660,Jaipur,Regular,F,2024-10-16,active,2026-04-25,UPDATE
C01018,Customer_1018,Jaipur,Platinum,F,2025-04-06,active,2026-04-25,UPDATE
C00781,Customer_781,Pune,Regular,F,2025-12-01,active,2026-04-25,UPDATE
C02068,Customer_2068,Delhi,Silver,M,2024-10-14,active,2026-04-25,UPDATE
C02152,Customer_2152,Hyderabad,Gold,M,2024-05-30,active,2026-04-25,UPDATE
C01200,Customer_1200,Delhi,Gold,F,2024-03-30,active,2026-04-25,UPDATE
C00959,Customer_959,Ahmedabad,Platinum,F,2025-09-02,active,2026-04-25,UPDATE
C00439,Customer_439,Delhi,Platinum,Other,2025-08-10,active,2026-04-25,UPDATE
C01595,Customer_1595,Hyderabad,Platinum,F,2026-01-24,inactive,2026-04-25,UPDATE
C00068,Customer_68,Bengaluru,Gold,M,2026-01-30,active,2026-04-25,UPDATE
C00015,Customer_15,Jaipur,Platinum,F,2024-08-02,active,2026-04-25,UPDATE
C01475,Customer_1475,Gurugram,Regular,M,2025-11-17,active,2026-04-25,UPDATE
C01070,Customer_1070,Ahmedabad,Gold,Other,2024-04-06,active,2026-04-25,UPDATE
C01308,Customer_1308,Mumbai,Silver,M,2025-06-28,active,2026-04-25,UPDATE
C00610,Customer_610,Gurugram,Platinum,M,2025-07-01,inactive,2026-04-25,UPDATE
C01319,Customer_1319,Kolkata,Gold,M,2025-12-13,active,2026-04-25,UPDATE
C01890,Customer_1890,Bengaluru,Platinum,Other,2024-11-28,inactive,2026-04-25,UPDATE
C00249,Customer_249,Ahmedabad,Gold,Other,2024-02-14,active,2026-04-25,UPDATE
C00599,Customer_599,Hyderabad,Gold,Other,2025-09-16,inactive,2026-04-25,UPDATE
C01534,Customer_1534,Delhi,Gold,F,2025-04-18,active,2026-04-25,UPDATE
C00437,Customer_437,Kolkata,Silver,F,2025-10-30,inactive,2026-04-25,UPDATE
C01657,Customer_1657,Bengaluru,Gold,M,2025-09-12,inactive,2026-04-25,UPDATE
C01458,Customer_1458,Delhi,Regular,Other,2024-07-17,active,2026-04-25,UPDATE
C01348,Customer_1348,Pune,Platinum,M,2025-10-09,active,2026-04-25,UPDATE
C00655,Customer_655,Jaipur,Platinum,F,2025-01-27,active,2026-04-25,UPDATE
C00330,Customer_330,Kolkata,Platinum,M,2024-11-22,active,2026-04-25,UPDATE
C02395,Customer_2395,Ahmedabad,Gold,M,2024-02-16,active,2026-04-25,UPDATE
C01787,Customer_1787,Chennai,Platinum,F,2025-01-12,active,2026-04-25,UPDATE
C00146,Customer_146,Ahmedabad,Regular,F,2025-11-10,active,2026-04-25,UPDATE
C01578,Customer_1578,Delhi,Regular,Other,2025-05-21,inactive,2026-04-25,UPDATE
C01459,Customer_1459,Jaipur,Regular,Other,2024-11-26,active,2026-04-25,UPDATE
C01054,Customer_1054,Chennai,Silver,Other,2025-03-23,inactive,2026-04-25,UPDATE
C01100,Customer_1100,Bengaluru,Regular,Other,2024-02-11,active,2026-04-25,UPDATE
C02005,Customer_2005,Gurugram,Regular,M,2024-03-27,active,2026-04-25,UPDATE
C01282,Customer_1282,Kolkata,Platinum,M,2025-03-10,active,2026-04-25,UPDATE
C02298,Customer_2298,Mumbai,Gold,Other,2025-05-16,active,2026-04-25,UPDATE
C00186,Customer_186,Chennai,Platinum,M,2024-01-30,active,2026-04-25,UPDATE
C00552,Customer_552,Chennai,Silver,Other,2025-07-12,active,2026-04-25,UPDATE
C00954,Customer_954,Gurugram,Silver,M,2024-06-19,active,2026-04-25,UPDATE
C01042,Customer_1042,Ahmedabad,Silver,M,2026-01-25,active,2026-04-25,UPDATE
C02122,Customer_2122,Bengaluru,Regular,Other,2025-12-09,active,2026-04-25,UPDATE
C01318,Customer_1318,Gurugram,Regular,Other,2024-05-13,inactive,2026-04-25,UPDATE
C00839,Customer_839,Jaipur,Regular,M,2025-02-25,inactive,2026-04-25,UPDATE
C02332,Customer_2332,Chennai,Gold,M,2024-11-07,active,2026-04-25,UPDATE
C02117,Customer_2117,Gurugram,Platinum,M,2024-04-22,active,2026-04-25,UPDATE
C02114,Customer_2114,Pune,Regular,M,2024-05-26,active,2026-04-25,UPDATE
C01931,Customer_1931,Jaipur,Silver,Other,2025-08-09,active,2026-04-25,UPDATE
C01619,Customer_1619,Ahmedabad,Gold,F,2025-09-20,active,2026-04-25,UPDATE
C01679,Customer_1679,Gurugram,Gold,Other,2025-12-18,active,2026-04-25,UPDATE
C01882,Customer_1882,Kolkata,Silver,Other,2024-04-20,active,2026-04-25,UPDATE
C01647,Customer_1647,Gurugram,Regular,F,2025-05-12,inactive,2026-04-25,UPDATE
C00348,Customer_348,Bengaluru,Gold,M,2024-02-14,active,2026-04-25,UPDATE
C00468,Customer_468,Hyderabad,Silver,M,2024-05-18,inactive,2026-04-25,UPDATE
C01451,Customer_1451,Kolkata,Regular,M,2024-10-10,inactive,2026-04-25,UPDATE
C01154,Customer_1154,Delhi,Gold,M,2025-10-02,active,2026-04-25,UPDATE
C01123,Customer_1123,Pune,Gold,F,2025-06-20,active,2026-04-25,UPDATE
C01366,Customer_1366,Gurugram,Platinum,F,2024-02-24,active,2026-04-25,UPDATE
C00341,Customer_341,Delhi,Platinum,M,2025-06-22,active,2026-04-25,UPDATE
C02020,Customer_2020,Kolkata,Gold,Other,2025-07-15,inactive,2026-04-25,UPDATE
C00214,Customer_214,Hyderabad,Gold,F,2024-11-05,active,2026-04-25,UPDATE
C01129,Customer_1129,Gurugram,Gold,Other,2025-03-20,active,2026-04-25,UPDATE
C00160,Customer_160,Mumbai,Platinum,Other,2025-03-02,active,2026-04-25,UPDATE
C02115,Customer_2115,Delhi,Regular,F,2025-10-22,inactive,2026-04-25,UPDATE
C02295,Customer_2295,Bengaluru,Platinum,M,2025-08-20,inactive,2026-04-25,UPDATE
C01344,Customer_1344,Kolkata,Silver,M,2024-08-04,inactive,2026-04-25,UPDATE
C00423,Customer_423,Jaipur,Gold,Other,31-31-2025,inactive,2026-04-25,UPDATE
C00668,Customer_668,Gurugram,Silver,M,2025-12-29,active,2026-04-25,UPDATE
C02133,Customer_2133,Mumbai,Silver,F,2024-04-16,active,2026-04-25,UPDATE
C01299,Customer_1299,Jaipur,Silver,Other,2024-02-03,active,2026-04-25,UPDATE
C02046,Customer_2046,Delhi,Platinum,M,2024-01-03,inactive,2026-04-25,UPDATE
C01252,Customer_1252,Gurugram,Platinum,M,2024-12-25,inactive,2026-04-25,UPDATE
C00538,Customer_538,Chennai,Regular,Other,2025-09-04,active,2026-04-25,UPDATE
C02037,Customer_2037,Jaipur,Silver,M,2025-03-10,active,2026-04-25,UPDATE
C01491,Customer_1491,Ahmedabad,Silver,Other,2025-11-05,active,2026-04-25,UPDATE
C00627,Customer_627,Kolkata,Platinum,Other,2025-10-27,active,2026-04-25,UPDATE
C02422,Customer_2422,Jaipur,Silver,F,2025-09-04,active,2026-04-25,UPDATE
C00854,Customer_854,Gurugram,Platinum,M,2024-04-09,active,2026-04-25,UPDATE
C02392,Customer_2392,Jaipur,Gold,Other,2025-05-10,inactive,2026-04-25,UPDATE
C01663,Customer_1663,Delhi,Gold,Other,2024-09-30,active,2026-04-25,UPDATE
C01916,Customer_1916,Delhi,Silver,M,2026-01-02,inactive,2026-04-25,UPDATE
C00363,Customer_363,Pune,Regular,Other,2024-02-03,active,2026-04-25,UPDATE
C00684,Customer_684,Jaipur,Platinum,M,2024-03-04,active,2026-04-25,UPDATE
C00457,Customer_457,Bengaluru,Gold,Other,2025-11-11,active,2026-04-25,UPDATE
C00022,Customer_22,Chennai,Gold,Other,2025-02-12,active,2026-04-25,UPDATE
C01035,Customer_1035,Ahmedabad,Silver,F,2025-03-31,active,2026-04-25,UPDATE
C00131,Customer_131,Gurugram,Platinum,M,2025-12-14,active,2026-04-25,UPDATE
C00633,Customer_633,Mumbai,Silver,M,2025-06-14,active,2026-04-25,UPDATE
C00866,Customer_866,Bengaluru,Platinum,F,2025-02-11,active,2026-04-25,UPDATE
C02097,Customer_2097,Hyderabad,Regular,Other,2025-04-11,active,2026-04-25,UPDATE
C01177,Customer_1177,Hyderabad,Platinum,Other,2024-04-21,inactive,2026-04-25,UPDATE
C00162,Customer_162,Delhi,Gold,F,2025-08-05,active,2026-04-25,UPDATE
C00158,Customer_158,Hyderabad,Silver,Other,2025-10-06,active,2026-04-25,UPDATE
C00845,Customer_845,Gurugram,Platinum,M,2024-12-04,active,2026-04-25,UPDATE
C01594,Customer_1594,Jaipur,Gold,Other,2024-09-27,active,2026-04-25,UPDATE
