order_id,order_ts,customer_id,product_id,store_id,quantity,unit_price,discount_pct,gross_amount,payment_method,order_status,ingest_date
OI2000001,2026-04-19 09:00:00,C02450,P00433,S010,4,62850.99,0.05,251403.96,CARD,cancelled,2026-04-25
OI2000002,2026-04-25 02:23:00,C01694,P00258,S013,1,68644.21,0.05,68644.21,WALLET,cancelled,2026-04-25
OI2000003,2026-04-25 14:48:00,C00729,P00798,S002,1,76944.83,0.0,61555.86,WALLET,returned,2026-04-25
OI2000004,2026-04-25 00:00:00,C01761,P00021,S066,2,85893.82,0.1,154608.88,NETBANKING,shipped,2026-04-25
OI2000005,2026-04-25 14:43:00,C02108,P00751,S057,2,47815.45,0.05,90849.35,COD,shipped,2026-04-25
OI2000006,2026-04-22 22:00:00,C01262,P00160,S049,5,56754.39,0.2,269583.35,NETBANKING,returned,2026-04-25
OI2000007,2026-04-25 20:39:00,C01928,P00598,S059,6,45122.1,0.1,243659.34,WALLET,shipped,2026-04-25
OI2000008,2026-04-25 02:21:00,C01279,P00194,S046,2,16034.57,0.1,25655.31,WALLET,cancelled,2026-04-25
OI2000009,2026-04-25 18:41:00,C00747,P00388,S008,1,12049.67,0.0,9639.74,UPI,delivered,2026-04-25
OI2000010,2026-04-25 01:45:00,C00280,P00236,S050,4,47950.2,0.1,191800.8,NETBANKING,delivered,2026-04-25
OI2000011,2026-04-25 05:35:00,C02419,P00536,S014,6,36167.32,0.1,217003.92,UPI,delivered,2026-04-25
OI2000012,2026-04-25 07:15:00,C01919,P00339,S063,2,2566.61,0.2,4106.58,COD,shipped,2026-04-25
OI2000013,2026-04-25 06:41:00,C00310,P00609,S015,1,1552.71,0.2,1242.17,UPI,cancelled,2026-04-25
OI2000014,2026-04-25 04:50:00,C01068,P00516,S031,5,6106.6,0.1,30533.0,NETBANKING,cancelled,2026-04-25
OI2000015,2026-04-25 16:04:00,C00943,P00080,S052,1,35894.6,0.1,34099.87,UPI,delivered,2026-04-25
OI2000016,2026-04-25 23:24:00,C01913,P00515,S001,5,1538.5,0.0,6154.0,WALLET,cancelled,2026-04-25
OI2000017,2026-04-25 06:57:00,C01063,P00257,S072,1,66166.78,0.05,62858.44,UPI,returned,2026-04-25
OI2000018,2026-04-25 19:48:00,C02031,P00519,S048,1,28821.3,0.05,25939.17,UPI,delivered,2026-04-25
OI2000019,2026-04-25 18:42:00,C01959,P00629,S034,3,84599.41,0.05,241108.32,NETBANKING,cancelled,2026-04-25
OI2000020,2026-04-25 05:28:00,C01713,P00393,S054,3,84892.48,0.2,203741.95,NETBANKING,returned,2026-04-25
OI2000021,2026-04-25 01:05:00,C02485,P00033,S044,3,32639.83,0.05,78335.59,UPI,returned,2026-04-25
OI2000022,2026-04-25 16:40:00,C02072,P00037,S051,1,27187.86,0.1,25828.47,COD,cancelled,2026-04-25
OI2000023,2026-04-25 01:50:00,C00669,P00055,S058,6,56384.75,0.05,304477.65,CARD,cancelled,2026-04-25
OI2000024,2026-04-25 07:54:00,C02059,P00245,S046,5,66678.53,0.05,333392.65,COD,delivered,2026-04-25
OI2000025,2026-04-25 04:06:00,C02386,P00758,S066,1,79607.14,0.2,75626.78,UPI,returned,2026-04-25
OI2000026,2026-04-25 08:04:00,C01010,P00150,S003,5,30918.13,0.2,139131.58,UPI,cancelled,2026-04-25
OI2000027,2026-04-25 14:43:00,C01776,P00118,S047,1,68692.94,0.0,61823.65,WALLET,cancelled,2026-04-25
OI2000028,2026-04-25 19:22:00,C00098,P00004,S018,5,68176.44,0.2,272705.76,WALLET,cancelled,2026-04-25
OI2000029,2026-04-25 19:57:00,C00226,P00331,S025,2,75229.69,0.1,135413.44,COD,shipped,2026-04-25
OI2000030,2026-04-25 17:58:00,C00566,P00614,S064,1,31775.22,0.05,31775.22,UPI,delivered,2026-04-25
OI2000031,2026-04-25 16:47:00,C02310,,S072,6,89381.89,0.0,429033.07,WALLET,returned,2026-04-25
OI2000032,2026-04-25 14:16:00,C01589,P00767,S026,5,7726.84,0.2,34770.78,COD,cancelled,2026-04-25
OI2000033,2026-04-25 16:34:00,C02086,P00274,S066,1,8584.95,0.0,8584.95,CARD,shipped,2026-04-25
OI2000034,2026-04-25 08:37:00,C02080,P00736,S031,5,33429.26,0.1,158788.99,NETBANKING,returned,2026-04-25
OI2000035,2026-04-22 09:00:00,C01941,P00682,S035,6,13191.5,0.2,71234.1,COD,cancelled,2026-04-25
OI2000036,2026-04-25 01:46:00,C00138,P00580,S042,4,18525.18,0.1,74100.72,COD,cancelled,2026-04-25
OI2000037,2026-04-25 04:33:00,C00092,P00600,S046,3,41659.48,0.1,118729.52,NETBANKING,delivered,2026-04-25
OI2000038,2026-04-25 11:33:00,C01890,P00104,S034,1,32350.86,0.2,30733.32,WALLET,cancelled,2026-04-25
OI2000039,2026-04-25 03:53:00,C01082,P00224,S048,4,78375.62,0.0,313502.48,UPI,delivered,2026-04-25
OI2000040,2026-04-25 13:09:00,C01547,P00076,S006,2,65585.96,0.0,124613.32,COD,returned,2026-04-25
OI2000041,2026-04-25 03:34:00,C00483,P00692,S065,4,73427.15,0.2,293708.6,UPI,cancelled,2026-04-25
OI2000042,2026-04-25 11:40:00,C02386,P00623,S068,1,37629.61,0.2,33866.65,NETBANKING,delivered,2026-04-25
OI2000043,2026-04-25 21:43:00,C00891,P00189,S033,5,20249.95,0.0,80999.8,UPI,returned,2026-04-25
OI2000044,2026-04-25 19:33:00,C01672,P00509,S052,3,46799.63,0.05,133378.95,UPI,returned,2026-04-25
OI2000045,2026-04-25 22:57:00,C01227,P00587,S022,6,23002.92,0.0,131116.64,COD,cancelled,2026-04-25
OI2000046,2026-04-25 11:17:00,C02270,P00409,S009,5,46246.98,0.0,184987.92,NETBANKING,cancelled,2026-04-25
OI2000047,2026-04-25 21:10:00,C00622,P00313,S062,3,35756.37,0.05,101905.65,NETBANKING,shipped,2026-04-25
OI2000048,2026-04-25 17:44:00,C00024,P00799,S020,4,89228.66,0.2,356914.64,CARD,shipped,2026-04-25
OI2000049,2026-04-25 18:06:00,C02415,P00213,S073,3,68661.56,0.1,205984.68,CARD,returned,2026-04-25
OI2000050,2026-04-25 19:11:00,C00229,,S029,2,78088.55,0.1,148368.24,UPI,cancelled,2026-04-25
OI2000051,2026-04-25 06:36:00,C02264,P00216,S023,4,38520.65,0.05,154082.6,UPI,delivered,2026-04-25
OI2000052,2026-04-25 05:14:00,C02496,P00063,S070,2,57300.01,0.0,114600.02,COD,delivered,2026-04-25
OI2000053,2026-04-25 23:26:00,C02166,P00472,S039,5,21594.74,0.1,107973.7,COD,returned,2026-04-25
OI2000054,2026-04-25 14:09:00,C00776,P00424,S001,5,42885.89,0.2,171543.56,NETBANKING,shipped,2026-04-25
OI2000055,2026-04-25 05:29:00,C01548,P00705,S061,6,51936.03,0.2,NaN_TEXT,CARD,returned,2026-04-25
OI2000056,2026-04-25 23:42:00,C00720,P00110,S017,1,85862.06,0.0,81568.96,WALLET,shipped,2026-04-25
OI2000057,2026-04-25 13:36:00,C01420,P00759,S011,3,8490.8,0.1,22925.16,NETBANKING,delivered,2026-04-25
OI2000058,2026-04-25 00:06:00,C02178,P00449,S006,3,37576.69,0.2,90184.06,CARD,returned,2026-04-25
OI2000059,2026-04-25 10:29:00,C00944,P00458,S017,2,79638.67,0.0,159277.34,WALLET,delivered,2026-04-25
OI2000060,2026-04-25 13:38:00,C00280,P00480,S025,1,80821.7,0.1,80821.7,NETBANKING,delivered,2026-04-25
OI2000061,2026-04-25 03:20:00,C01184,P00465,S021,5,49547.43,0.0,198189.72,WALLET,cancelled,2026-04-25
OI2000062,2026-04-25 18:01:00,C00959,P00331,S012,1,75229.69,0.2,60183.75,COD,returned,2026-04-25
OI2000063,2026-04-25 20:23:00,C01475,P00744,S035,2,66393.75,0.2,126148.12,UPI,cancelled,2026-04-25
